Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Days_Until_Stockout,Risk_Label,Vendor_Name,Avg_Lead_Time (days),Cost_Per_Item
2025-04-22,103,Consumable,X-ray Machine,2554,873,500,3528.79,386,13,V002,6.616580310880829,High,EquipMed Co.,30,20000.0
2025-04-23,104,Consumable,IV Drip,4192,995,5911,18374.44,237,8,V002,17.68776371308017,Low,EquipMed Co.,30,20000.0
2025-04-24,105,Consumable,X-ray Machine,4181,230,3970,11554.34,176,1,V003,23.755681818181817,Low,HealthTools Ltd.,15,5000.0
2025-04-25,103,Consumable,Ventilator,2307,215,2298,7714.83,163,26,V001,14.153374233128835,High,MedSupplies Inc.,5,0.5
2025-04-26,103,Equipment,Surgical Mask,1225,401,1100,4554.51,299,21,V002,4.096989966555184,High,EquipMed Co.,30,20000.0
2025-04-27,107,Consumable,Surgical Mask,2159,292,4074,15670.89,299,21,V001,7.2207357859531776,High,MedSupplies Inc.,5,0.5
2025-04-28,109,Consumable,Ventilator,1255,283,5623,19414.06,365,27,V002,3.4383561643835616,High,EquipMed Co.,30,20000.0
2025-04-29,109,Consumable,Surgical Mask,4670,718,1848,14710.54,203,6,V003,23.004926108374384,Low,HealthTools Ltd.,15,5000.0
2025-04-30,109,Equipment,IV Drip,4652,565,1625,12197.47,427,11,V003,10.894613583138174,High,HealthTools Ltd.,15,5000.0
2025-05-01,107,Equipment,Gloves,2208,441,2447,19006.75,253,25,V001,8.727272727272727,High,MedSupplies Inc.,5,0.5
2025-05-02,103,Consumable,Surgical Mask,729,744,5222,14231.58,233,12,V002,3.128755364806867,High,EquipMed Co.,30,20000.0
2025-05-03,102,Equipment,Ventilator,1308,135,2525,9129.72,47,22,V003,27.829787234042552,Medium,HealthTools Ltd.,15,5000.0
2025-05-04,103,Consumable,Gloves,1951,358,925,6433.42,488,29,V002,3.997950819672131,High,EquipMed Co.,30,20000.0
2025-05-05,109,Consumable,Ventilator,3037,515,5377,3774.51,464,7,V002,6.545258620689655,High,EquipMed Co.,30,20000.0
2025-05-06,107,Consumable,IV Drip,644,850,1637,17473.68,110,2,V003,5.8545454545454545,Low,HealthTools Ltd.,15,5000.0
2025-05-07,107,Equipment,Ventilator,1536,708,2949,14457.92,219,21,V003,7.013698630136986,High,HealthTools Ltd.,15,5000.0
2025-05-08,105,Consumable,IV Drip,151,805,862,19561.59,106,14,V003,1.4245283018867925,High,HealthTools Ltd.,15,5000.0
2025-05-09,101,Consumable,Surgical Mask,2474,16,1470,1504.53,41,16,V001,60.34146341463415,Low,MedSupplies Inc.,5,0.5
2025-05-10,102,Consumable,Gloves,4330,913,4919,6294.82,109,16,V001,39.72477064220183,Low,MedSupplies Inc.,5,0.5
2025-05-11,102,Equipment,X-ray Machine,2132,703,5903,8129.55,369,12,V001,5.777777777777778,High,MedSupplies Inc.,5,0.5
2025-05-12,108,Equipment,Gloves,1036,897,4528,19250.87,337,22,V001,3.0741839762611276,High,MedSupplies Inc.,5,0.5
2025-05-13,101,Equipment,X-ray Machine,573,514,5251,11815.94,428,4,V003,1.338785046728972,High,HealthTools Ltd.,15,5000.0
2025-05-14,105,Consumable,Surgical Mask,2718,36,1246,13601.84,349,10,V003,7.787965616045845,High,HealthTools Ltd.,15,5000.0
2025-05-15,108,Consumable,Ventilator,3261,645,4262,5417.61,449,23,V003,7.262806236080178,High,HealthTools Ltd.,15,5000.0
2025-05-16,104,Equipment,IV Drip,2458,725,840,5150.14,64,25,V002,38.40625,Medium,EquipMed Co.,30,20000.0
2025-05-17,100,Consumable,IV Drip,4016,815,1064,6855.76,45,24,V003,89.24444444444444,Low,HealthTools Ltd.,15,5000.0
2025-05-18,102,Equipment,IV Drip,3299,103,2445,1680.4,382,5,V003,8.636125654450261,Medium,HealthTools Ltd.,15,5000.0
2025-05-19,105,Equipment,Surgical Mask,4094,443,4768,18790.34,131,29,V003,31.251908396946565,Medium,HealthTools Ltd.,15,5000.0
2025-05-20,105,Consumable,Surgical Mask,4092,542,4677,8103.52,23,27,V003,177.91304347826087,Low,HealthTools Ltd.,15,5000.0
2025-05-21,100,Consumable,X-ray Machine,4732,487,1145,4010.43,381,24,V003,12.41994750656168,High,HealthTools Ltd.,15,5000.0
2025-05-22,108,Consumable,Gloves,3261,897,1211,6876.61,409,25,V001,7.973105134474328,High,MedSupplies Inc.,5,0.5
2025-05-23,101,Consumable,Gloves,4860,450,4851,3916.18,429,18,V001,11.328671328671328,High,MedSupplies Inc.,5,0.5
2025-05-24,101,Consumable,Ventilator,3582,967,3921,5117.16,340,21,V003,10.535294117647059,High,HealthTools Ltd.,15,5000.0
2025-05-25,100,Consumable,X-ray Machine,2851,449,606,15152.04,223,6,V002,12.784753363228699,Low,EquipMed Co.,30,20000.0
2025-05-26,103,Consumable,Surgical Mask,2466,742,1254,4760.82,462,22,V002,5.337662337662338,High,EquipMed Co.,30,20000.0
2025-05-27,108,Consumable,Surgical Mask,1596,161,2127,13977.02,392,15,V002,4.071428571428571,High,EquipMed Co.,30,20000.0
2025-05-28,108,Equipment,IV Drip,820,707,5780,11867.51,212,20,V002,3.8679245283018866,High,EquipMed Co.,30,20000.0
2025-05-29,104,Consumable,X-ray Machine,1451,659,1437,2902.09,228,9,V003,6.364035087719298,High,HealthTools Ltd.,15,5000.0
2025-05-30,104,Equipment,X-ray Machine,125,650,3782,15274.29,310,4,V002,0.4032258064516129,High,EquipMed Co.,30,20000.0
2025-05-31,100,Consumable,Surgical Mask,2016,624,5009,17057.52,319,6,V001,6.3197492163009406,Medium,MedSupplies Inc.,5,0.5
2025-06-01,109,Equipment,X-ray Machine,3173,413,4582,19119.77,414,4,V002,7.664251207729468,Medium,EquipMed Co.,30,20000.0
2025-06-02,103,Consumable,IV Drip,4059,465,5984,19180.01,213,21,V002,19.056338028169016,High,EquipMed Co.,30,20000.0
2025-06-03,107,Consumable,IV Drip,4140,60,3197,14127.56,9,7,V002,460.0,Low,EquipMed Co.,30,20000.0
2025-06-04,103,Consumable,Surgical Mask,3765,560,4650,5827.25,459,2,V002,8.202614379084967,Low,EquipMed Co.,30,20000.0
2025-06-05,102,Equipment,Surgical Mask,2370,973,3452,758.71,298,26,V001,7.953020134228188,High,MedSupplies Inc.,5,0.5
2025-06-06,101,Consumable,X-ray Machine,3928,774,2709,7804.91,419,10,V002,9.374701670644392,High,EquipMed Co.,30,20000.0
2025-06-07,101,Equipment,X-ray Machine,4406,424,1029,14662.67,175,13,V001,25.177142857142858,Medium,MedSupplies Inc.,5,0.5
2025-06-08,102,Equipment,Gloves,965,559,5093,18812.8,446,24,V002,2.163677130044843,High,EquipMed Co.,30,20000.0
2025-06-09,101,Consumable,X-ray Machine,4739,962,2979,2271.25,204,23,V001,23.230392156862745,Medium,MedSupplies Inc.,5,0.5
2025-06-10,104,Consumable,X-ray Machine,3266,904,4100,10845.07,254,6,V003,12.858267716535433,Low,HealthTools Ltd.,15,5000.0
2025-06-11,102,Consumable,Ventilator,2480,655,3634,9495.74,201,3,V001,12.338308457711443,Low,MedSupplies Inc.,5,0.5
2025-06-12,105,Equipment,Surgical Mask,714,69,5435,915.04,118,26,V001,6.0508474576271185,High,MedSupplies Inc.,5,0.5
2025-06-13,105,Consumable,X-ray Machine,1341,986,4594,13013.72,312,28,V002,4.298076923076923,High,EquipMed Co.,30,20000.0
2025-06-14,105,Equipment,Ventilator,200,484,1610,17451.66,470,15,V001,0.425531914893617,High,MedSupplies Inc.,5,0.5
2025-06-15,102,Equipment,X-ray Machine,3694,455,3055,9237.32,245,20,V001,15.077551020408164,High,MedSupplies Inc.,5,0.5
2025-06-16,105,Equipment,Surgical Mask,1293,809,1789,10465.55,69,6,V001,18.73913043478261,Low,MedSupplies Inc.,5,0.5
2025-06-17,107,Consumable,Gloves,4788,976,4514,3556.21,304,27,V002,15.75,High,EquipMed Co.,30,20000.0
2025-06-18,107,Equipment,IV Drip,1638,355,5248,2422.81,8,25,V003,204.75,Low,HealthTools Ltd.,15,5000.0
2025-06-19,106,Consumable,Surgical Mask,2442,213,5708,12277.15,249,29,V003,9.80722891566265,High,HealthTools Ltd.,15,5000.0
2025-06-20,101,Consumable,Surgical Mask,3015,667,1897,14328.34,313,29,V002,9.63258785942492,High,EquipMed Co.,30,20000.0
2025-06-21,106,Consumable,Ventilator,2513,41,2954,5750.42,86,4,V003,29.22093023255814,Low,HealthTools Ltd.,15,5000.0
2025-06-22,107,Consumable,Ventilator,805,681,3105,9989.26,87,16,V002,9.25287356321839,High,EquipMed Co.,30,20000.0
2025-06-23,102,Consumable,Ventilator,3784,94,2325,19161.21,327,2,V002,11.571865443425077,Low,EquipMed Co.,30,20000.0
2025-06-24,103,Equipment,Gloves,3758,100,1202,666.95,20,26,V001,187.9,Low,MedSupplies Inc.,5,0.5
2025-06-25,101,Consumable,Ventilator,1372,49,3385,4716.65,172,23,V002,7.976744186046512,High,EquipMed Co.,30,20000.0
2025-06-26,109,Consumable,Surgical Mask,2833,767,5233,2061.51,327,11,V003,8.663608562691131,High,HealthTools Ltd.,15,5000.0
2025-06-27,105,Consumable,Ventilator,360,188,5696,16439.94,353,8,V002,1.019830028328612,High,EquipMed Co.,30,20000.0
2025-06-28,109,Equipment,X-ray Machine,2692,596,1181,19844.87,358,9,V001,7.5195530726256985,High,MedSupplies Inc.,5,0.5
2025-06-29,109,Equipment,X-ray Machine,3913,304,2944,3195.0,343,18,V001,11.408163265306122,High,MedSupplies Inc.,5,0.5
2025-06-30,102,Consumable,IV Drip,351,590,4281,15038.14,362,26,V003,0.9696132596685083,High,HealthTools Ltd.,15,5000.0
2025-07-01,100,Equipment,X-ray Machine,2021,389,2269,5747.94,278,8,V003,7.26978417266187,High,HealthTools Ltd.,15,5000.0
2025-07-02,109,Consumable,IV Drip,1389,561,3237,6575.23,245,20,V003,5.669387755102041,High,HealthTools Ltd.,15,5000.0
2025-07-03,101,Equipment,X-ray Machine,2014,137,4405,18597.0,140,8,V001,14.385714285714286,Medium,MedSupplies Inc.,5,0.5
2025-07-04,109,Consumable,Gloves,1228,217,2942,14250.61,172,10,V002,7.1395348837209305,High,EquipMed Co.,30,20000.0
2025-07-05,100,Equipment,IV Drip,3754,23,4794,16241.58,68,21,V002,55.205882352941174,Low,EquipMed Co.,30,20000.0
2025-07-06,106,Equipment,X-ray Machine,2727,173,2655,9095.5,225,2,V001,12.12,Low,MedSupplies Inc.,5,0.5
2025-07-07,100,Consumable,IV Drip,4779,496,5318,6545.59,414,18,V002,11.543478260869565,High,EquipMed Co.,30,20000.0
2025-07-08,104,Equipment,IV Drip,466,901,5223,2766.57,406,25,V002,1.1477832512315271,High,EquipMed Co.,30,20000.0
2025-07-09,108,Consumable,X-ray Machine,1872,405,5050,12507.75,210,29,V002,8.914285714285715,High,EquipMed Co.,30,20000.0
2025-07-10,104,Equipment,Surgical Mask,3449,369,3482,13596.86,326,11,V001,10.579754601226995,High,MedSupplies Inc.,5,0.5
2025-07-11,103,Consumable,Ventilator,4242,341,5310,18607.98,240,13,V002,17.675,Medium,EquipMed Co.,30,20000.0
2025-07-12,103,Consumable,IV Drip,1775,832,4339,2503.52,476,16,V003,3.7289915966386555,High,HealthTools Ltd.,15,5000.0
2025-07-13,108,Equipment,IV Drip,563,430,4955,14741.34,258,3,V001,2.182170542635659,High,MedSupplies Inc.,5,0.5
2025-07-14,108,Consumable,IV Drip,3624,92,2332,10931.03,162,1,V001,22.37037037037037,Low,MedSupplies Inc.,5,0.5
2025-07-15,107,Consumable,Ventilator,2463,213,540,9146.87,425,25,V002,5.7952941176470585,High,EquipMed Co.,30,20000.0
2025-07-16,100,Consumable,IV Drip,3240,701,4690,15058.49,364,22,V003,8.901098901098901,High,HealthTools Ltd.,15,5000.0
2025-07-17,103,Equipment,IV Drip,2572,172,4591,12145.71,104,6,V001,24.73076923076923,Low,MedSupplies Inc.,5,0.5
2025-07-18,108,Consumable,X-ray Machine,1089,964,2646,2055.54,250,20,V002,4.356,High,EquipMed Co.,30,20000.0
2025-07-19,107,Equipment,Surgical Mask,1276,90,5167,8383.42,172,1,V001,7.4186046511627906,Low,MedSupplies Inc.,5,0.5
2025-07-20,107,Consumable,Gloves,3801,550,3149,19913.41,52,18,V001,73.09615384615384,Low,MedSupplies Inc.,5,0.5
2025-07-21,101,Consumable,Gloves,156,403,2447,15351.22,486,24,V001,0.32098765432098764,High,MedSupplies Inc.,5,0.5
2025-07-22,108,Consumable,Ventilator,4402,879,1196,15251.73,351,15,V003,12.54131054131054,High,HealthTools Ltd.,15,5000.0
2025-07-23,104,Equipment,Gloves,1667,18,5550,18444.16,467,21,V003,3.569593147751606,High,HealthTools Ltd.,15,5000.0
2025-07-24,107,Consumable,Surgical Mask,3308,155,1811,14587.84,439,27,V003,7.5353075170842825,High,HealthTools Ltd.,15,5000.0
2025-07-25,100,Consumable,Gloves,3134,762,3364,16959.77,464,5,V003,6.754310344827586,Medium,HealthTools Ltd.,15,5000.0
2025-07-26,104,Equipment,Surgical Mask,481,246,2674,8021.97,253,5,V003,1.901185770750988,High,HealthTools Ltd.,15,5000.0
2025-07-27,109,Equipment,Surgical Mask,840,230,4983,8003.19,308,13,V003,2.727272727272727,High,HealthTools Ltd.,15,5000.0
2025-07-28,100,Equipment,X-ray Machine,4518,675,4916,19140.66,430,13,V002,10.506976744186046,High,EquipMed Co.,30,20000.0
2025-07-29,106,Consumable,Gloves,2068,360,5099,15149.99,233,5,V003,8.875536480686696,Medium,HealthTools Ltd.,15,5000.0
2025-07-30,104,Equipment,IV Drip,3932,133,2203,9426.57,350,16,V003,11.234285714285715,High,HealthTools Ltd.,15,5000.0
2025-07-31,102,Consumable,Ventilator,3446,111,5632,9792.19,133,6,V001,25.909774436090224,Low,MedSupplies Inc.,5,0.5
2025-08-01,104,Equipment,IV Drip,4012,709,3400,332.31,185,23,V001,21.686486486486487,High,MedSupplies Inc.,5,0.5
2025-08-02,106,Equipment,Gloves,880,389,4031,4595.06,433,25,V003,2.032332563510393,High,HealthTools Ltd.,15,5000.0
2025-08-03,103,Equipment,Gloves,3926,69,4966,9426.31,377,14,V003,10.413793103448276,High,HealthTools Ltd.,15,5000.0
2025-08-04,103,Equipment,IV Drip,3973,196,5539,5876.33,491,21,V001,8.091649694501019,High,MedSupplies Inc.,5,0.5
2025-08-05,107,Equipment,X-ray Machine,2270,284,4909,19636.33,405,21,V001,5.604938271604938,High,MedSupplies Inc.,5,0.5
2025-08-06,108,Consumable,Gloves,771,534,2697,2310.89,273,27,V001,2.8241758241758244,High,MedSupplies Inc.,5,0.5
2025-08-07,105,Consumable,X-ray Machine,2338,907,4448,10111.41,54,29,V001,43.2962962962963,Medium,MedSupplies Inc.,5,0.5
2025-08-08,100,Equipment,Ventilator,248,293,1024,198.75,470,8,V001,0.5276595744680851,High,MedSupplies Inc.,5,0.5
2025-08-09,108,Consumable,Gloves,312,532,1157,5450.73,195,15,V001,1.6,High,MedSupplies Inc.,5,0.5
2025-08-10,105,Equipment,IV Drip,3554,973,2147,4489.01,405,24,V001,8.77530864197531,High,MedSupplies Inc.,5,0.5
2025-08-11,104,Consumable,X-ray Machine,4223,967,2997,12101.98,494,21,V002,8.548582995951417,High,EquipMed Co.,30,20000.0
2025-08-12,107,Consumable,Ventilator,2491,794,1817,17744.44,441,6,V003,5.648526077097506,High,HealthTools Ltd.,15,5000.0
2025-08-13,104,Equipment,Surgical Mask,519,293,1291,11329.09,409,8,V003,1.2689486552567237,High,HealthTools Ltd.,15,5000.0
2025-08-14,101,Equipment,Ventilator,1908,646,5505,12882.23,300,5,V001,6.36,Medium,MedSupplies Inc.,5,0.5
2025-08-15,103,Consumable,X-ray Machine,1238,784,636,5598.83,341,16,V003,3.63049853372434,High,HealthTools Ltd.,15,5000.0
2025-08-16,103,Consumable,Gloves,334,522,2758,6177.68,238,10,V001,1.403361344537815,High,MedSupplies Inc.,5,0.5
2025-08-17,109,Consumable,Gloves,1020,17,4353,9980.36,192,6,V002,5.3125,High,EquipMed Co.,30,20000.0
2025-08-18,102,Equipment,Surgical Mask,1588,675,3962,11371.41,16,26,V002,99.25,Low,EquipMed Co.,30,20000.0
2025-08-19,105,Equipment,X-ray Machine,2519,77,911,10926.81,354,2,V003,7.1158192090395485,Low,HealthTools Ltd.,15,5000.0
2025-08-20,102,Consumable,Gloves,1808,837,3737,5201.3,281,21,V002,6.434163701067615,High,EquipMed Co.,30,20000.0
2025-08-21,103,Consumable,Gloves,4099,770,919,2919.89,345,1,V001,11.881159420289855,Low,MedSupplies Inc.,5,0.5
2025-08-22,105,Consumable,X-ray Machine,1589,382,4238,7367.76,361,2,V002,4.401662049861496,Low,EquipMed Co.,30,20000.0
2025-08-23,107,Consumable,Ventilator,161,521,1472,15682.5,92,20,V001,1.75,High,MedSupplies Inc.,5,0.5
2025-08-24,102,Consumable,IV Drip,1829,430,2849,11922.86,318,10,V003,5.751572327044025,High,HealthTools Ltd.,15,5000.0
2025-08-25,107,Consumable,Ventilator,4740,438,4420,3637.87,132,3,V001,35.90909090909091,Low,MedSupplies Inc.,5,0.5
2025-08-26,101,Equipment,X-ray Machine,4964,735,3886,4664.74,404,17,V003,12.287128712871286,High,HealthTools Ltd.,15,5000.0
2025-08-27,106,Equipment,Ventilator,2031,635,3314,18083.89,141,24,V003,14.404255319148936,High,HealthTools Ltd.,15,5000.0
2025-08-28,105,Equipment,Gloves,2588,768,1246,7924.06,115,27,V001,22.504347826086956,High,MedSupplies Inc.,5,0.5
2025-08-29,100,Equipment,X-ray Machine,4174,521,1468,17074.09,301,19,V003,13.867109634551495,High,HealthTools Ltd.,15,5000.0
2025-08-30,100,Equipment,Gloves,1877,210,3012,19549.43,331,26,V003,5.670694864048339,High,HealthTools Ltd.,15,5000.0
2025-08-31,103,Equipment,Gloves,359,633,3817,7157.67,394,27,V002,0.9111675126903553,High,EquipMed Co.,30,20000.0
2025-09-01,101,Equipment,Gloves,3916,176,3441,258.85,192,11,V002,20.395833333333332,Medium,EquipMed Co.,30,20000.0
2025-09-02,109,Equipment,Ventilator,3491,948,5566,14555.91,477,17,V001,7.318658280922432,High,MedSupplies Inc.,5,0.5
2025-09-03,109,Consumable,IV Drip,3936,686,2435,9709.02,374,18,V001,10.524064171122994,High,MedSupplies Inc.,5,0.5
2025-09-04,106,Consumable,Surgical Mask,4343,78,986,17748.49,175,9,V003,24.81714285714286,Low,HealthTools Ltd.,15,5000.0
2025-09-05,106,Consumable,IV Drip,177,101,5452,3385.0,224,29,V002,0.7901785714285714,High,EquipMed Co.,30,20000.0
2025-09-06,107,Consumable,Surgical Mask,221,791,3380,4865.33,472,18,V003,0.4682203389830508,High,HealthTools Ltd.,15,5000.0
2025-09-07,108,Consumable,X-ray Machine,1157,663,4558,9433.1,398,27,V001,2.907035175879397,High,MedSupplies Inc.,5,0.5
2025-09-08,108,Consumable,IV Drip,4208,947,3464,2715.95,70,18,V001,60.114285714285714,Low,MedSupplies Inc.,5,0.5
2025-09-09,107,Consumable,Surgical Mask,3324,338,5603,7207.0,174,6,V002,19.103448275862068,Low,EquipMed Co.,30,20000.0
2025-09-10,100,Equipment,Gloves,1293,656,3747,311.77,489,10,V003,2.644171779141104,High,HealthTools Ltd.,15,5000.0
2025-09-11,108,Consumable,X-ray Machine,4885,360,2994,16035.71,136,7,V002,35.919117647058826,Low,EquipMed Co.,30,20000.0
2025-09-12,106,Equipment,IV Drip,2962,150,4949,2014.53,298,13,V001,9.939597315436242,High,MedSupplies Inc.,5,0.5
2025-09-13,108,Consumable,Ventilator,4312,620,3596,11917.36,111,7,V001,38.846846846846844,Low,MedSupplies Inc.,5,0.5
2025-09-14,109,Equipment,X-ray Machine,3877,909,3270,5245.0,401,16,V002,9.668329177057357,High,EquipMed Co.,30,20000.0
2025-09-15,108,Consumable,Gloves,3504,242,5948,600.78,179,25,V002,19.575418994413408,High,EquipMed Co.,30,20000.0
2025-09-16,103,Equipment,Gloves,3859,538,3771,2194.35,296,2,V003,13.037162162162161,Low,HealthTools Ltd.,15,5000.0
2025-09-17,106,Equipment,Gloves,3951,271,797,13984.45,36,15,V002,109.75,Low,EquipMed Co.,30,20000.0
2025-09-18,101,Consumable,Surgical Mask,3931,562,1847,17821.3,363,6,V003,10.829201101928374,Medium,HealthTools Ltd.,15,5000.0
2025-09-19,107,Equipment,IV Drip,2453,449,3699,1094.03,285,10,V001,8.60701754385965,High,MedSupplies Inc.,5,0.5
2025-09-20,104,Equipment,X-ray Machine,2348,935,4203,5629.09,118,6,V002,19.89830508474576,Low,EquipMed Co.,30,20000.0
2025-09-21,109,Consumable,IV Drip,2842,703,4831,7968.93,82,7,V002,34.65853658536585,Low,EquipMed Co.,30,20000.0
2025-09-22,102,Equipment,IV Drip,329,288,5644,19573.66,38,12,V003,8.657894736842104,High,HealthTools Ltd.,15,5000.0
2025-09-23,100,Consumable,Surgical Mask,1196,367,4168,8853.64,2,26,V003,598.0,Low,HealthTools Ltd.,15,5000.0
2025-09-24,108,Consumable,Surgical Mask,3962,545,4002,16497.31,466,17,V003,8.50214592274678,High,HealthTools Ltd.,15,5000.0
2025-09-25,102,Consumable,Gloves,3675,261,5140,5622.76,287,20,V001,12.804878048780488,High,MedSupplies Inc.,5,0.5
2025-09-26,107,Equipment,IV Drip,3359,900,5398,9363.66,35,27,V002,95.97142857142858,Low,EquipMed Co.,30,20000.0
2025-09-27,108,Equipment,Surgical Mask,4974,942,1360,16517.32,373,24,V002,13.335120643431635,High,EquipMed Co.,30,20000.0
2025-09-28,104,Consumable,Gloves,865,757,728,15373.96,4,19,V003,216.25,Low,HealthTools Ltd.,15,5000.0
2025-09-29,104,Consumable,X-ray Machine,1729,197,5446,4771.7,418,26,V001,4.136363636363637,High,MedSupplies Inc.,5,0.5
2025-09-30,101,Equipment,Surgical Mask,2704,44,1579,5054.72,172,17,V002,15.720930232558139,High,EquipMed Co.,30,20000.0
2025-10-01,107,Consumable,Surgical Mask,2071,976,3095,10969.69,346,10,V001,5.985549132947977,High,MedSupplies Inc.,5,0.5
2025-10-02,106,Consumable,X-ray Machine,860,400,855,18760.33,2,11,V003,430.0,Low,HealthTools Ltd.,15,5000.0
2025-10-03,109,Equipment,X-ray Machine,562,354,5849,2399.0,355,10,V003,1.5830985915492957,High,HealthTools Ltd.,15,5000.0
2025-10-04,104,Consumable,Surgical Mask,3000,598,2903,15441.35,441,10,V001,6.802721088435374,High,MedSupplies Inc.,5,0.5
2025-10-05,101,Equipment,X-ray Machine,4879,27,5410,14752.14,306,8,V001,15.944444444444445,Medium,MedSupplies Inc.,5,0.5
2025-10-06,105,Equipment,X-ray Machine,3189,617,591,17015.59,104,27,V001,30.66346153846154,Medium,MedSupplies Inc.,5,0.5
2025-10-07,109,Consumable,Gloves,4433,570,2610,17784.06,297,24,V001,14.925925925925926,High,MedSupplies Inc.,5,0.5
2025-10-08,107,Consumable,Surgical Mask,2895,815,997,17668.57,83,23,V001,34.87951807228916,Medium,MedSupplies Inc.,5,0.5
2025-10-09,101,Equipment,X-ray Machine,2037,10,2799,18018.37,42,11,V001,48.5,Low,MedSupplies Inc.,5,0.5
2025-10-10,103,Equipment,Gloves,4143,468,3138,19614.11,311,12,V003,13.321543408360128,Medium,HealthTools Ltd.,15,5000.0
2025-10-11,105,Equipment,Surgical Mask,1336,635,5470,6648.92,470,8,V001,2.842553191489362,High,MedSupplies Inc.,5,0.5
2025-10-12,107,Consumable,Surgical Mask,4379,886,4647,18580.26,176,28,V001,24.880681818181817,High,MedSupplies Inc.,5,0.5
2025-10-13,103,Consumable,Surgical Mask,3607,14,1402,18951.23,93,1,V002,38.784946236559136,Low,EquipMed Co.,30,20000.0
2025-10-14,106,Equipment,X-ray Machine,4413,617,3227,12963.82,384,23,V003,11.4921875,High,HealthTools Ltd.,15,5000.0
2025-10-15,106,Consumable,X-ray Machine,3459,966,3040,13291.98,450,1,V003,7.6866666666666665,Low,HealthTools Ltd.,15,5000.0
2025-10-16,107,Consumable,IV Drip,2921,649,800,7171.49,298,3,V003,9.802013422818792,Low,HealthTools Ltd.,15,5000.0
2025-10-17,109,Equipment,Gloves,1373,532,2366,14906.21,295,23,V001,4.654237288135593,High,MedSupplies Inc.,5,0.5
2025-10-18,101,Equipment,IV Drip,4678,807,3281,12051.42,397,16,V001,11.78337531486146,High,MedSupplies Inc.,5,0.5
2025-10-19,109,Consumable,Gloves,4621,875,1346,15726.49,208,9,V001,22.216346153846153,Low,MedSupplies Inc.,5,0.5
2025-10-20,106,Consumable,Ventilator,561,883,1652,3070.7,413,16,V001,1.3583535108958837,High,MedSupplies Inc.,5,0.5
2025-10-21,100,Consumable,IV Drip,2729,250,3828,16291.95,282,25,V002,9.677304964539006,High,EquipMed Co.,30,20000.0
2025-10-22,103,Consumable,Surgical Mask,4416,535,2408,14467.77,252,23,V001,17.523809523809526,High,MedSupplies Inc.,5,0.5
2025-10-23,108,Equipment,Ventilator,320,285,2617,10919.13,243,20,V001,1.316872427983539,High,MedSupplies Inc.,5,0.5
2025-10-24,104,Equipment,Ventilator,2178,51,5293,5194.7,54,15,V002,40.333333333333336,Low,EquipMed Co.,30,20000.0
2025-10-25,101,Equipment,Ventilator,497,214,1810,1953.94,471,3,V001,1.0552016985138004,High,MedSupplies Inc.,5,0.5
2025-10-26,104,Equipment,Gloves,4519,438,3334,9696.92,192,4,V001,23.536458333333332,Low,MedSupplies Inc.,5,0.5
2025-10-27,105,Consumable,X-ray Machine,93,61,5214,2892.86,348,2,V002,0.2672413793103448,High,EquipMed Co.,30,20000.0
2025-10-28,100,Consumable,X-ray Machine,3849,117,516,15235.58,78,11,V001,49.34615384615385,Low,MedSupplies Inc.,5,0.5
2025-10-29,103,Equipment,Ventilator,2633,154,2411,18491.22,162,5,V001,16.253086419753085,Low,MedSupplies Inc.,5,0.5
2025-10-30,101,Consumable,X-ray Machine,3410,514,3909,16406.52,463,1,V001,7.365010799136069,Low,MedSupplies Inc.,5,0.5
2025-10-31,104,Consumable,Surgical Mask,2931,764,5823,6609.51,374,25,V003,7.836898395721925,High,HealthTools Ltd.,15,5000.0
2025-11-01,104,Equipment,X-ray Machine,2887,943,2557,2920.51,393,19,V001,7.346055979643766,High,MedSupplies Inc.,5,0.5
2025-11-02,104,Consumable,Gloves,4587,536,2429,158.76,197,7,V001,23.284263959390863,Low,MedSupplies Inc.,5,0.5
2025-11-03,100,Consumable,Ventilator,2678,686,1600,13273.33,47,24,V001,56.97872340425532,Low,MedSupplies Inc.,5,0.5
2025-11-04,100,Consumable,IV Drip,1050,124,2228,3752.65,119,13,V003,8.823529411764707,High,HealthTools Ltd.,15,5000.0
2025-11-05,108,Equipment,Surgical Mask,4057,142,5851,14331.23,342,16,V002,11.862573099415204,High,EquipMed Co.,30,20000.0
2025-11-06,104,Consumable,IV Drip,4938,313,2448,11508.87,174,27,V002,28.379310344827587,Medium,EquipMed Co.,30,20000.0
2025-11-07,106,Equipment,Ventilator,2440,906,2282,9400.61,477,24,V001,5.115303983228512,High,MedSupplies Inc.,5,0.5
2025-11-08,109,Equipment,Ventilator,4070,827,3393,15350.9,279,25,V002,14.587813620071685,High,EquipMed Co.,30,20000.0
2025-11-09,103,Consumable,IV Drip,3596,943,5451,19621.33,271,17,V001,13.269372693726938,High,MedSupplies Inc.,5,0.5
2025-11-10,103,Equipment,Ventilator,3770,264,3502,2572.32,257,19,V003,14.669260700389104,High,HealthTools Ltd.,15,5000.0
2025-11-11,102,Equipment,Ventilator,2871,469,3181,11010.6,435,14,V002,6.6,High,EquipMed Co.,30,20000.0
